Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Nearest_Insertion,1505,0.001166415
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,Random_Insertion,1659,0.000677133
eil51.tsp,Randomized_Heuristics,Route_Based_Removal,farthest_insertion,1425,0.00117631
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Basic_Insertion,468,0.007375097
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Regret_2_Heuristic,470,0.007406282
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Regret_3_Heuristic,467,0.007508779
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Regret_N_Heuristic,464,0.0074682
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Greedy_Insertion,467,0.00742228
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Best_Insertion,468,0.007402086
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Cheapest_Insertion,462,0.007466888
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Nearest_Insertion,468,0.007574296
eil51.tsp,Farthest_Insertion_INI,Random_Removal,Random_Insertion,470,0.007138515
eil51.tsp,Farthest_Insertion_INI,Random_Removal,farthest_insertion,467,0.007495284
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Basic_Insertion,470,0.007720804
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Regret_2_Heuristic,470,0.007705283
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Regret_3_Heuristic,470,0.007671905
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Regret_N_Heuristic,470,0.007834888
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Greedy_Insertion,470,0.008518195
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Best_Insertion,470,0.007743788
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Cheapest_Insertion,470,0.007747102
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Nearest_Insertion,470,0.007771802
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,Random_Insertion,470,0.007413101
eil51.tsp,Farthest_Insertion_INI,Worst_Removal,farthest_insertion,470,0.007884288
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Basic_Insertion,467,0.007618594
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Regret_2_Heuristic,462,0.007646894
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Regret_3_Heuristic,462,0.007662392
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Regret_N_Heuristic,464,0.007679296
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Greedy_Insertion,469,0.007561493
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Best_Insertion,470,0.007636094
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Cheapest_Insertion,462,0.007608819
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Nearest_Insertion,462,0.00777297
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,Random_Insertion,470,0.007338214
eil51.tsp,Farthest_Insertion_INI,Shaw_Removal,farthest_insertion,470,0.007735395
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Basic_Insertion,470,0.007442212
eil51.tsp,Farthest_Insertion_INI,Related_Removal,Regret_2_Heuristic,462,0.007462192
